properties{
  x = 0,
  y = 0,
  width = 320,
  height = 240,
  min_layer = 0,
  max_layer = 2,
  world = "limestone_island",
  tileset = "temple",
  music = "limestone_island",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 320,
  height = 240,
  pattern = "ground1.1",
}

tile{
  layer = 0,
  x = 152,
  y = 0,
  width = 16,
  height = 32,
  pattern = "wall.up.1",
}

tile{
  layer = 0,
  x = 168,
  y = 0,
  width = 16,
  height = 32,
  pattern = "wall.up.2",
}

tile{
  layer = 0,
  x = 88,
  y = 32,
  width = 32,
  height = 32,
  pattern = "corner.out.2",
}

tile{
  layer = 0,
  x = 200,
  y = 32,
  width = 32,
  height = 32,
  pattern = "corner.out.3",
}

tile{
  layer = 0,
  x = 120,
  y = 0,
  width = 16,
  height = 32,
  pattern = "wall.up.1",
}

tile{
  layer = 0,
  x = 136,
  y = 0,
  width = 16,
  height = 32,
  pattern = "wall.up.2",
}

tile{
  layer = 0,
  x = 184,
  y = 0,
  width = 16,
  height = 32,
  pattern = "wall.up.1",
}

tile{
  layer = 0,
  x = 88,
  y = 0,
  width = 32,
  height = 32,
  pattern = "corner.in.4",
}

tile{
  layer = 0,
  x = 56,
  y = 32,
  width = 32,
  height = 32,
  pattern = "corner.in.4",
}

tile{
  layer = 0,
  x = 200,
  y = 0,
  width = 32,
  height = 32,
  pattern = "corner.in.1",
}

tile{
  layer = 0,
  x = 232,
  y = 32,
  width = 32,
  height = 32,
  pattern = "corner.in.1",
}

tile{
  layer = 0,
  x = 232,
  y = 64,
  width = 32,
  height = 32,
  pattern = "corner.out.3",
}

tile{
  layer = 0,
  x = 56,
  y = 64,
  width = 32,
  height = 32,
  pattern = "corner.out.2",
}

tile{
  layer = 0,
  x = 24,
  y = 64,
  width = 32,
  height = 32,
  pattern = "corner.in.4",
}

tile{
  layer = 0,
  x = 264,
  y = 64,
  width = 32,
  height = 32,
  pattern = "corner.in.1",
}

tile{
  layer = 0,
  x = 120,
  y = 208,
  width = 16,
  height = 32,
  pattern = "wall.down.2",
}

tile{
  layer = 0,
  x = 136,
  y = 208,
  width = 16,
  height = 32,
  pattern = "wall.down.1",
}

tile{
  layer = 0,
  x = 152,
  y = 208,
  width = 16,
  height = 32,
  pattern = "wall.down.2",
}

tile{
  layer = 0,
  x = 168,
  y = 208,
  width = 16,
  height = 32,
  pattern = "wall.down.1",
}

tile{
  layer = 0,
  x = 184,
  y = 208,
  width = 16,
  height = 32,
  pattern = "wall.down.2",
}

tile{
  layer = 0,
  x = 88,
  y = 208,
  width = 32,
  height = 32,
  pattern = "corner.in.3",
}

tile{
  layer = 0,
  x = 88,
  y = 176,
  width = 32,
  height = 32,
  pattern = "corner.out.1",
}

tile{
  layer = 0,
  x = 56,
  y = 176,
  width = 32,
  height = 32,
  pattern = "corner.in.3",
}

tile{
  layer = 0,
  x = 56,
  y = 144,
  width = 32,
  height = 32,
  pattern = "corner.out.1",
}

tile{
  layer = 0,
  x = 24,
  y = 144,
  width = 32,
  height = 32,
  pattern = "corner.in.3",
}

tile{
  layer = 0,
  x = 200,
  y = 176,
  width = 32,
  height = 32,
  pattern = "corner.out.4",
}

tile{
  layer = 0,
  x = 232,
  y = 144,
  width = 32,
  height = 32,
  pattern = "corner.out.4",
}

tile{
  layer = 0,
  x = 264,
  y = 144,
  width = 32,
  height = 32,
  pattern = "corner.in.2",
}

tile{
  layer = 0,
  x = 232,
  y = 176,
  width = 32,
  height = 32,
  pattern = "corner.in.2",
}

tile{
  layer = 0,
  x = 200,
  y = 208,
  width = 32,
  height = 32,
  pattern = "corner.in.2",
}

tile{
  layer = 0,
  x = 264,
  y = 96,
  width = 32,
  height = 16,
  pattern = "wall.right.1",
}

tile{
  layer = 0,
  x = 264,
  y = 112,
  width = 32,
  height = 16,
  pattern = "wall.right.2",
}

tile{
  layer = 0,
  x = 264,
  y = 112,
  width = 32,
  height = 16,
  pattern = "wall.right.1",
}

tile{
  layer = 0,
  x = 264,
  y = 128,
  width = 32,
  height = 16,
  pattern = "wall.right.2",
}

tile{
  layer = 0,
  x = 24,
  y = 112,
  width = 32,
  height = 16,
  pattern = "wall.left.1",
}

tile{
  layer = 0,
  x = 24,
  y = 128,
  width = 32,
  height = 16,
  pattern = "wall.left.2",
}

tile{
  layer = 0,
  x = 24,
  y = 96,
  width = 32,
  height = 16,
  pattern = "wall.left.1",
}

tile{
  layer = 0,
  x = 104,
  y = 80,
  width = 112,
  height = 80,
  pattern = "7",
}

tile{
  layer = 0,
  x = 88,
  y = 80,
  width = 16,
  height = 80,
  pattern = "9",
}

tile{
  layer = 0,
  x = 104,
  y = 64,
  width = 16,
  height = 16,
  pattern = "8",
}

tile{
  layer = 0,
  x = 104,
  y = 160,
  width = 112,
  height = 16,
  pattern = "11",
}

tile{
  layer = 0,
  x = 216,
  y = 80,
  width = 16,
  height = 80,
  pattern = "10",
}

tile{
  layer = 0,
  x = 88,
  y = 64,
  width = 16,
  height = 16,
  pattern = "12",
}

tile{
  layer = 0,
  x = 216,
  y = 64,
  width = 16,
  height = 16,
  pattern = "13",
}

tile{
  layer = 0,
  x = 216,
  y = 160,
  width = 16,
  height = 16,
  pattern = "15",
}

tile{
  layer = 0,
  x = 88,
  y = 160,
  width = 16,
  height = 16,
  pattern = "14",
}

tile{
  layer = 0,
  x = 64,
  y = 96,
  width = 16,
  height = 16,
  pattern = "12",
}

tile{
  layer = 0,
  x = 64,
  y = 128,
  width = 16,
  height = 16,
  pattern = "14",
}

tile{
  layer = 0,
  x = 64,
  y = 112,
  width = 16,
  height = 16,
  pattern = "9",
}

tile{
  layer = 0,
  x = 80,
  y = 96,
  width = 16,
  height = 16,
  pattern = "8",
}

tile{
  layer = 0,
  x = 80,
  y = 128,
  width = 16,
  height = 16,
  pattern = "11",
}

tile{
  layer = 0,
  x = 80,
  y = 112,
  width = 16,
  height = 16,
  pattern = "7",
}

tile{
  layer = 0,
  x = 200,
  y = 64,
  width = 16,
  height = 16,
  pattern = "8",
}

tile{
  layer = 0,
  x = 120,
  y = 64,
  width = 80,
  height = 16,
  pattern = "7",
}

tile{
  layer = 0,
